#Id,DestinationRatesId,TimingTag,Weight
ESTONIA_CALL,ESTONIA_CALL,*any,0
ESTONIA_CELL_CALL,ESTONIA_CELL_CALL,*any,0
ETIOPIA_CALL,ETIOPIA_CALL,*any,0
ETIOPIA_CELL_CALL,ETIOPIA_CELL_CALL,*any,0
FILIPINAS_CALL,FILIPINAS_CALL,*any,0
FILIPINAS_CELL_CALL,FILIPINAS_CELL_CALL,*any,0
FINLANDIA_CALL,FINLANDIA_CALL,*any,0
FINLANDIA_CELL_CALL,FINLANDIA_CELL_CALL,*any,0
FRANCIA_CALL,FRANCIA_CALL,*any,0
FRANCIA_CELL_CALL,FRANCIA_CELL_CALL,*any,0
GABON_CALL,GABON_CALL,*any,0
GABON_CELL_CALL,GABON_CELL_CALL,*any,0
GAMBIA_CALL,GAMBIA_CALL,*any,0
GAMBIA_CELL_CALL,GAMBIA_CELL_CALL,*any,0
GEORGIA_CALL,GEORGIA_CALL,*any,0
GEORGIA_CELL_CALL,GEORGIA_CELL_CALL,*any,0
GHANA_CALL,GHANA_CALL,*any,0
GHANA_CELL_CALL,GHANA_CELL_CALL,*any,0
GIBRALTAR_CALL,GIBRALTAR_CALL,*any,0
GIBRALTAR_CELL_CALL,GIBRALTAR_CELL_CALL,*any,0
GRECIA_CALL,GRECIA_CALL,*any,0
GRECIA_CELL_CALL,GRECIA_CELL_CALL,*any,0
GROENLANDIA_CALL,GROENLANDIA_CALL,*any,0
GROENLANDIA_CELL_CALL,GROENLANDIA_CELL_CALL,*any,0
GUADALUPE_CALL,GUADALUPE_CALL,*any,0
GUADALUPE_CELL_CALL,GUADALUPE_CELL_CALL,*any,0
GUAM_CALL,GUAM_CALL,*any,0
GUATEMALA_CALL,GUATEMALA_CALL,*any,0
GUATEMALA_CELL_CALL,GUATEMALA_CELL_CALL,*any,0
GUAYANA_FRANCESA_CALL,GUAYANA_FRANCESA_CALL,*any,0
GUAYANA_FRANCESA_CELL_CALL,GUAYANA_FRANCESA_CELL_CALL,*any,0
GUINEA_CALL,GUINEA_CALL,*any,0
GUINEA_BISSAU_CALL,GUINEA_BISSAU_CALL,*any,0
GUINEA_ECUATORIAL_CALL,GUINEA_ECUATORIAL_CALL,*any,0
GUYANA_CALL,GUYANA_CALL,*any,0
HAITI_CALL,HAITI_CALL,*any,0
HAITI_CELL_CALL,HAITI_CELL_CALL,*any,0
HOLANDA_CALL,HOLANDA_CALL,*any,0
HOLANDA_CELL_CALL,HOLANDA_CELL_CALL,*any,0
HONDURAS_CALL,HONDURAS_CALL,*any,0
HONDURAS_CELL_CALL,HONDURAS_CELL_CALL,*any,0
HONG_KONG_CALL,HONG_KONG_CALL,*any,0
HONG_KONG_CELL_CALL,HONG_KONG_CELL_CALL,*any,0
HUNGRIA_CALL,HUNGRIA_CALL,*any,0
HUNGRIA_CELL_CALL,HUNGRIA_CELL_CALL,*any,0
INDIA_CALL,INDIA_CALL,*any,0
INDIA_CELL_CALL,INDIA_CELL_CALL,*any,0
INDONESIA_CALL,INDONESIA_CALL,*any,0
INDONESIA_CELL_CALL,INDONESIA_CELL_CALL,*any,0
IRAN_CALL,IRAN_CALL,*any,0
IRAN_CELL_CALL,IRAN_CELL_CALL,*any,0
IRAQ_CALL,IRAQ_CALL,*any,0
IRLANDA_CALL,IRLANDA_CALL,*any,0
IRLANDA_CELL_CALL,IRLANDA_CELL_CALL,*any,0
ISL_ASCENCION_CALL,ISL_ASCENCION_CALL,*any,0
ISL_AZORES_CALL,ISL_AZORES_CALL,*any,0
ISL_CAIMAN_CALL,ISL_CAIMAN_CALL,*any,0
ISL_CHRISTMAS_CALL,ISL_CHRISTMAS_CALL,*any,0
ISL_COCOS_CALL,ISL_COCOS_CALL,*any,0
ISL_COOK_CALL,ISL_COOK_CALL,*any,0
ISL_FAROE_CALL,ISL_FAROE_CALL,*any,0
ISL_FIJI_CALL,ISL_FIJI_CALL,*any,0
ISL_FIJI_CELL_CALL,ISL_FIJI_CELL_CALL,*any,0
ISL_GRANADA_CALL,ISL_GRANADA_CALL,*any,0
ISL_MALVINAS_CALL,ISL_MALVINAS_CALL,*any,0
ISL_MARIANAS_CALL,ISL_MARIANAS_CALL,*any,0
ISL_MARSHALL_CALL,ISL_MARSHALL_CALL,*any,0
ISL_MAURICIO_CALL,ISL_MAURICIO_CALL,*any,0
ISL_MAYOTTE_CALL,ISL_MAYOTTE_CALL,*any,0
ISL_MAYOTTE_CELL_CALL,ISL_MAYOTTE_CELL_CALL,*any,0
ISL_MIDWAY_CALL,ISL_MIDWAY_CALL,*any,0
ISL_NORFOLK_CALL,ISL_NORFOLK_CALL,*any,0
ISL_PASCUA_CALL,ISL_PASCUA_CALL,*any,0
ISL_REUNION_CALL,ISL_REUNION_CALL,*any,0
ISL_SALOMON_CALL,ISL_SALOMON_CALL,*any,0
ISL_SALOMON_CELL_CALL,ISL_SALOMON_CELL_CALL,*any,0
ISL_SAMOA_CALL,ISL_SAMOA_CALL,*any,0
ISL_SAMOA_NORTEAMERICANAS_CALL,ISL_SAMOA_NORTEAMERICANAS_CALL,*any,0
ISL_SEYCHELLES_CALL,ISL_SEYCHELLES_CALL,*any,0
ISL_SEYCHELLES_CELL_CALL,ISL_SEYCHELLES_CELL_CALL,*any,0
ISL_TURKS_Y_CAICOS_CALL,ISL_TURKS_Y_CAICOS_CALL,*any,0
ISL_TURKS_Y_CAICOS_CELL_CALL,ISL_TURKS_Y_CAICOS_CELL_CALL,*any,0
ISL_VIRGENES_EE_UU_CALL,ISL_VIRGENES_EE_UU_CALL,*any,0
ISL_VIRGENES_UK_CALL,ISL_VIRGENES_UK_CALL,*any,0
ISL_WAKE_CALL,ISL_WAKE_CALL,*any,0
ISLANDIA_CALL,ISLANDIA_CALL,*any,0
ISLANDIA_CELL_CALL,ISLANDIA_CELL_CALL,*any,0
ISRAEL_CALL,ISRAEL_CALL,*any,0
ISRAEL_CELL_CALL,ISRAEL_CELL_CALL,*any,0
ITALIA_CALL,ITALIA_CALL,*any,0
ITALIA_CELL_CALL,ITALIA_CELL_CALL,*any,0
JAMAICA_CALL,JAMAICA_CALL,*any,0
JAMAICA_CELL_CALL,JAMAICA_CELL_CALL,*any,0
JAPON_CALL,JAPON_CALL,*any,0
JAPON_CELL_CALL,JAPON_CELL_CALL,*any,0
JORDANIA_CALL,JORDANIA_CALL,*any,0
JORDANIA_CELL_CALL,JORDANIA_CELL_CALL,*any,0
KAZAJISTAN_CALL,KAZAJISTAN_CALL,*any,0
KAZAJISTAN_CELL_CALL,KAZAJISTAN_CELL_CALL,*any,0
KENYA_CALL,KENYA_CALL,*any,0
KENYA_CELL_CALL,KENYA_CELL_CALL,*any,0
KIRIBATI_CALL,KIRIBATI_CALL,*any,0
KIRIBATI_CELL_CALL,KIRIBATI_CELL_CALL,*any,0
KURGIZSTAN_CALL,KURGIZSTAN_CALL,*any,0
KURGIZSTAN_CELL_CALL,KURGIZSTAN_CELL_CALL,*any,0
KUWAIT_CALL,KUWAIT_CALL,*any,0
KUWAIT_CELL_CALL,KUWAIT_CELL_CALL,*any,0
LAOS_CALL,LAOS_CALL,*any,0
LESOTHO_CALL,LESOTHO_CALL,*any,0
LESOTHO_CELL_CALL,LESOTHO_CELL_CALL,*any,0
LETONIA_CALL,LETONIA_CALL,*any,0
LETONIA_CELL_CALL,LETONIA_CELL_CALL,*any,0
LIBANO_CALL,LIBANO_CALL,*any,0
LIBANO_CELL_CALL,LIBANO_CELL_CALL,*any,0
LIBERIA_CALL,LIBERIA_CALL,*any,0
LIBERIA_CELL_CALL,LIBERIA_CELL_CALL,*any,0
LIBIA_CALL,LIBIA_CALL,*any,0
LIECHTENSTEIN_CALL,LIECHTENSTEIN_CALL,*any,0
LIECHTENSTEIN_CELL_CALL,LIECHTENSTEIN_CELL_CALL,*any,0
LITUANIA_CALL,LITUANIA_CALL,*any,0
LITUANIA_CELL_CALL,LITUANIA_CELL_CALL,*any,0
LOCUCION__ACD_CALL,LOCUCION__ACD_CALL,*any,0
LUXEMBURGO_CALL,LUXEMBURGO_CALL,*any,0
LUXEMBURGO_CELL_CALL,LUXEMBURGO_CELL_CALL,*any,0
MACAO_CHINA_CALL,MACAO_CHINA_CALL,*any,0
MACAO_CHINA_CELL_CALL,MACAO_CHINA_CELL_CALL,*any,0
MACEDONIA_CALL,MACEDONIA_CALL,*any,0
MACEDONIA_CELL_CALL,MACEDONIA_CELL_CALL,*any,0
MADAGASCAR_CALL,MADAGASCAR_CALL,*any,0
MADAGASCAR_CELL_CALL,MADAGASCAR_CELL_CALL,*any,0
MALASIA_CALL,MALASIA_CALL,*any,0
